python-pyopenssl 21.0.0-5
python-pyparsing 3.0.3-1
python-pyqt5 5.15.6-7
python-pyqt5-sip 12.9.1-1
python-pyqt5-webengine 5.15.5-4
python-pyrsistent 0.18.1-1
python-pysocks 1.7.1-7
python-pytest 7.1.1-1
python-pytz 2021.3-4
python-qdarkstyle 3.0.2-3
python-qtpy 1.11.2-3
python-regex 2021.11.10-3
python-requests 2.27.1-1
python-requests-oauthlib 1.3.1-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-rsa 4.8-3
python-scikit-learn 1.0.2-1
python-scipy 1.8.0-1.1
python-send2trash 1.8.0-3
python-setuptools 1:59.4.0-1
python-shtab 1.5.3-1
python-sip4 4.19.25-3
python-six 1.16.0-5
python-soupsieve 2.3.1-1
python-stack-data 0.2.0-1
python-stringcase 1.2.0-1
python-tensorboard_plugin_wit 1.8.1-3
python-tensorflow 2.8.0-3
python-tensorflow-estimator 2.7.0-1
python-termcolor 1.1.0-12
python-threadpoolctl 3.1.0-1
python-toml 0.10.2-7.1
python-tomli 2.0.1-1
python-traitlets 5.1.1-1
python-typed-ast 1.5.2-1
python-typing_extensions 4.1.0-1
python-urllib3 1.26.9-1
python-waitress 2.1.1-1
python-wcwidth 0.2.5-6
python-webencodings 0.5.1-9
